target_age,current_age,model,n_samples,bmi_mae,bmi_rmse,class_accuracy,z_correlation,z_score_actual_mean,z_score_actual_std,z_score_pred_mean,z_score_pred_std
36,24,SVR,129,3.266201550387597,4.5981747305548515,0.8837209302325582,-0.0660320908757895,-3.1170542635658918,2.8056784621040203,-5.106976744186047,2.8718434251145895
36,24,MLP,131,3.5280152671755727,4.700126439748012,0.8549618320610687,-0.021149778395698253,-3.0945801526717562,2.790991577205772,-5.04412213740458,3.1820087923429914
36,24,XGB,131,3.4903053435114506,4.690819277715057,0.8625954198473282,-0.04005295580789206,-3.105419847328245,2.7904089441579383,-5.029923664122138,3.1326433235601714
36,24,LinearRegression,48,3.3579166666666667,4.162938165126485,0.9375,0.2056076711216587,-3.4539583333333326,1.6999727198587302,-6.248125000000001,2.948555900952476
36,24,SVR,39,3.0841025641025643,3.72758669437782,1.0,0.32472766360827454,-3.217435897435897,1.4338378085667418,-6.181538461538461,2.2738925605062867
36,24,MLP,48,3.4425000000000003,4.177006005103017,0.875,-0.10148439198320543,-3.2604166666666665,1.4432125021592936,-5.22375,3.249311866252094
36,24,XGB,47,3.127446808510638,3.917634164493733,0.8723404255319149,-0.035933630037310454,-3.291489361702128,1.5257547538958425,-5.148297872340425,3.0395557620186873
36,24,LinearRegression,58,3.476379310344827,4.199656595156488,0.9482758620689655,0.04698019383251304,-3.37051724137931,1.606205018062004,-6.051379310344828,2.8818620945468107
36,24,SVR,51,2.6980392156862743,3.4808321069627515,0.9803921568627451,0.28634031677978594,-3.301960784313725,1.480227883367093,-5.37921568627451,2.8300445802192677
36,24,MLP,54,3.197592592592593,4.021583205838402,0.8888888888888888,-0.03221487506037009,-3.274259259259259,1.4558001514400198,-5.080740740740741,3.2383110892195663
36,24,XGB,57,2.981052631578947,3.8909233107999333,0.8245614035087719,-0.05604385014385666,-3.12280701754386,1.9899490907584554,-4.657543859649123,2.8610851092657654
48,36,LinearRegression,70,2.9711428571428575,4.041883224438826,0.9714285714285714,0.5526613609548023,-1.8454285714285712,2.900815986538116,-4.670857142857144,3.1872113842924295
48,36,SVR,74,3.160945945945946,4.4980207358949045,0.972972972972973,0.37610810921829047,-1.9406756756756758,2.849461936444522,-5.017297297297298,3.019963887960796
48,36,MLP,72,2.9701388888888887,4.112173492611095,0.9722222222222222,0.5430563534619327,-1.8975,2.8762735102134416,-4.695694444444444,3.3638960655717556
48,36,XGB,70,3.009142857142857,4.090988703410042,0.9714285714285714,0.5502332457548516,-1.8454285714285712,2.900815986538116,-4.709142857142858,3.229591634007151
48,36,LinearRegression,92,3.386086956521739,4.628570067479288,0.6413043478260869,-0.01582262164479923,-2.676847826086956,2.923961699530512,-3.7764130434782617,3.3694644076785374
48,36,SVR,92,3.3638043478260866,4.6294014309298825,0.6521739130434783,-0.018436646873018412,-2.677826086956522,2.926188285602574,-3.962065217391305,3.2960389725836325
48,36,MLP,93,3.3163440860215054,4.5918450387850696,0.6451612903225806,-0.024250750847720024,-2.66010752688172,2.9126282313821688,-3.7981720430107533,3.292614396159844
48,36,XGB,92,3.396086956521739,4.6457802265113095,0.6413043478260869,-0.012680449584933081,-2.676847826086956,2.923961699530512,-3.836413043478261,3.3820609170720726
48,36,LinearRegression,92,3.386086956521739,4.628570067479288,0.6413043478260869,-0.01582262164479923,-2.676847826086956,2.923961699530512,-3.7764130434782617,3.3694644076785374
48,36,SVR,92,3.3638043478260866,4.6294014309298825,0.6521739130434783,-0.018436646873018412,-2.677826086956522,2.926188285602574,-3.962065217391305,3.2960389725836325
48,36,MLP,93,3.3163440860215054,4.5918450387850696,0.6451612903225806,-0.024250750847720024,-2.66010752688172,2.9126282313821688,-3.7981720430107533,3.292614396159844
48,36,XGB,92,3.396086956521739,4.6457802265113095,0.6413043478260869,-0.012680449584933081,-2.676847826086956,2.923961699530512,-3.836413043478261,3.3820609170720726
48,36,LinearRegression,90,3.074777777777778,4.164225818404504,0.6111111111111112,0.14510323267883654,-2.7906666666666666,3.0307046485374762,-3.3696666666666664,3.2706232671396984
48,36,SVR,92,3.108260869565217,4.210000258184439,0.6086956521739131,0.11610245803150193,-2.776521739130435,3.002850976764888,-3.5176086956521733,3.2260203541115136
48,36,MLP,92,3.1578260869565216,4.244214220303458,0.5978260869565217,0.1326145481530344,-2.7667391304347824,3.00305174805768,-3.452391304347826,3.345029202954742
48,36,XGB,90,3.0848888888888895,4.18153480594546,0.6111111111111112,0.14767308409984098,-2.7906666666666666,3.0307046485374762,-3.421333333333334,3.294064763581109
48,36,LinearRegression,90,3.074777777777778,4.164225818404504,0.6111111111111112,0.14510323267883654,-2.7906666666666666,3.0307046485374762,-3.3696666666666664,3.2706232671396984
48,36,SVR,92,3.108260869565217,4.210000258184439,0.6086956521739131,0.11610245803150193,-2.776521739130435,3.002850976764888,-3.5176086956521733,3.2260203541115136
48,36,MLP,92,3.1578260869565216,4.244214220303458,0.5978260869565217,0.1326145481530344,-2.7667391304347824,3.00305174805768,-3.452391304347826,3.345029202954742
48,36,XGB,90,3.0848888888888895,4.18153480594546,0.6111111111111112,0.14767308409984098,-2.7906666666666666,3.0307046485374762,-3.421333333333334,3.294064763581109
48,36,LinearRegression,90,3.491333333333333,4.43413977627629,0.6777777777777778,0.1811354079236135,-2.818666666666666,3.040933774718256,-3.986666666666667,3.609169495111645
48,36,SVR,91,3.493296703296704,4.453667090101206,0.6923076923076923,0.1689426233278301,-2.8224175824175823,3.024388537114093,-4.158791208791208,3.538058645413365
48,36,MLP,90,3.449444444444445,4.375536919434383,0.6666666666666666,0.18094966528669093,-2.818666666666666,3.040933774718256,-3.9205555555555565,3.548033057941669
48,36,XGB,90,3.490333333333334,4.427936690303208,0.6888888888888889,0.18372145924577224,-2.818666666666666,3.040933774718256,-4.016333333333333,3.597939363950797
48,36,LinearRegression,90,3.491333333333333,4.43413977627629,0.6777777777777778,0.1811354079236135,-2.818666666666666,3.040933774718256,-3.986666666666667,3.609169495111645
48,36,SVR,91,3.493296703296704,4.453667090101206,0.6923076923076923,0.1689426233278301,-2.8224175824175823,3.024388537114093,-4.158791208791208,3.538058645413365
48,36,MLP,90,3.449444444444445,4.375536919434383,0.6666666666666666,0.18094966528669093,-2.818666666666666,3.040933774718256,-3.9205555555555565,3.548033057941669
48,36,XGB,90,3.490333333333334,4.427936690303208,0.6888888888888889,0.18372145924577224,-2.818666666666666,3.040933774718256,-4.016333333333333,3.597939363950797
48,36,LinearRegression,56,3.8575000000000004,5.484878563573022,0.7678571428571429,-0.13157906331733832,-2.597142857142857,3.5732911571655546,-4.479285714285714,3.2706961126378724
48,36,SVR,56,3.500714285714286,5.263707954338978,0.8392857142857143,-0.1102610577134253,-2.5883928571428574,3.5749749133913586,-4.8462499999999995,2.7655085831026245
48,36,MLP,60,3.8554999999999997,5.413263187148149,0.7833333333333333,-0.096990218680747,-2.645666666666666,3.46746418710978,-4.774166666666668,3.2501509152995065
48,36,XGB,55,3.7794545454545454,5.42504143260257,0.7818181818181819,-0.12422500828316632,-2.605272727272727,3.605115988322178,-4.433090909090909,3.1982289830622155
48,36,LinearRegression,56,3.8575000000000004,5.484878563573022,0.7678571428571429,-0.13157906331733832,-2.597142857142857,3.5732911571655546,-4.479285714285714,3.2706961126378724
48,36,SVR,56,3.500714285714286,5.263707954338978,0.8392857142857143,-0.1102610577134253,-2.5883928571428574,3.5749749133913586,-4.8462499999999995,2.7655085831026245
48,36,MLP,60,3.8554999999999997,5.413263187148149,0.7833333333333333,-0.096990218680747,-2.645666666666666,3.46746418710978,-4.774166666666668,3.2501509152995065
48,36,XGB,55,3.7794545454545454,5.42504143260257,0.7818181818181819,-0.12422500828316632,-2.605272727272727,3.605115988322178,-4.433090909090909,3.1982289830622155
48,36,LinearRegression,54,3.1188888888888893,3.883518832002559,0.7592592592592593,-0.11977276986557675,-3.0351851851851848,1.4644525468593181,-4.6037037037037045,3.066143250196739
48,36,SVR,52,2.9019230769230764,3.586304611885439,0.9230769230769231,0.09069547616352261,-3.045961538461538,1.4570561200524326,-5.205576923076924,2.6003649251754726
48,36,MLP,52,3.0044230769230773,3.7776577501042996,0.75,-0.07674204227026168,-3.046923076923077,1.4887159393010454,-4.554038461538461,3.0156216731287406
