Transition_Key,Predictor_Age,Target_Age,Metric,Feature_Space,Feature_Count,Model,Accuracy,Precision,Recall,F1_Score
Birth_to_6Months_Height_S2_No_Zscores,Birth,6Months,Height,BIC_Optimized_Space,1,Neural_Network_MLP,0.8953,0.2984,0.3333,0.3149
Birth_to_6Months_Height_S3_No_Base_Data,Birth,6Months,Height,Full_Feature_Space,5,XGBoost_Classifier,0.8837,0.6345,0.4358,0.4792
Birth_to_6Months_Height_S3_No_Base_Data,Birth,6Months,Height,Full_Feature_Space,5,Support_Vector_Classifier,0.907,0.6353,0.4444,0.4835
Birth_to_6Months_Height_S3_No_Base_Data,Birth,6Months,Height,Full_Feature_Space,5,Neural_Network_MLP,0.8837,0.6345,0.4358,0.4792
Birth_to_6Months_Height_S3_No_Base_Data,Birth,6Months,Height,AIC_Optimized_Space,1,XGBoost_Classifier,0.907,0.8052,0.4957,0.5667
Birth_to_6Months_Height_S3_No_Base_Data,Birth,6Months,Height,AIC_Optimized_Space,1,Support_Vector_Classifier,0.8953,0.2984,0.3333,0.3149
Birth_to_6Months_Height_S3_No_Base_Data,Birth,6Months,Height,AIC_Optimized_Space,1,Neural_Network_MLP,0.8953,0.2984,0.3333,0.3149
Birth_to_6Months_Height_S3_No_Base_Data,Birth,6Months,Height,BIC_Optimized_Space,1,XGBoost_Classifier,0.907,0.8052,0.4957,0.5667
Birth_to_6Months_Height_S3_No_Base_Data,Birth,6Months,Height,BIC_Optimized_Space,1,Support_Vector_Classifier,0.8953,0.2984,0.3333,0.3149
Birth_to_6Months_Height_S3_No_Base_Data,Birth,6Months,Height,BIC_Optimized_Space,1,Neural_Network_MLP,0.8953,0.2984,0.3333,0.3149
Birth_to_6Months_Height_S4_S6_Zscore_Only,Birth,6Months,Height,Full_Feature_Space,3,XGBoost_Classifier,0.8837,0.6345,0.4358,0.4792
Birth_to_6Months_Height_S4_S6_Zscore_Only,Birth,6Months,Height,Full_Feature_Space,3,Support_Vector_Classifier,0.907,0.6353,0.4444,0.4835
Birth_to_6Months_Height_S4_S6_Zscore_Only,Birth,6Months,Height,Full_Feature_Space,3,Neural_Network_MLP,0.907,0.6353,0.4444,0.4835
Birth_to_6Months_Height_S4_S6_Zscore_Only,Birth,6Months,Height,AIC_Optimized_Space,1,XGBoost_Classifier,0.907,0.8052,0.4957,0.5667
Birth_to_6Months_Height_S4_S6_Zscore_Only,Birth,6Months,Height,AIC_Optimized_Space,1,Support_Vector_Classifier,0.8953,0.2984,0.3333,0.3149
Birth_to_6Months_Height_S4_S6_Zscore_Only,Birth,6Months,Height,AIC_Optimized_Space,1,Neural_Network_MLP,0.8953,0.2984,0.3333,0.3149
Birth_to_6Months_Height_S4_S6_Zscore_Only,Birth,6Months,Height,BIC_Optimized_Space,1,XGBoost_Classifier,0.907,0.8052,0.4957,0.5667
Birth_to_6Months_Height_S4_S6_Zscore_Only,Birth,6Months,Height,BIC_Optimized_Space,1,Support_Vector_Classifier,0.8953,0.2984,0.3333,0.3149
Birth_to_6Months_Height_S4_S6_Zscore_Only,Birth,6Months,Height,BIC_Optimized_Space,1,Neural_Network_MLP,0.8953,0.2984,0.3333,0.3149
Birth_to_6Months_BMI_S1_S5_All_Data,Birth,6Months,BMI,Full_Feature_Space,7,XGBoost_Classifier,0.8256,0.2817,0.3333,0.3054
Birth_to_6Months_BMI_S1_S5_All_Data,Birth,6Months,BMI,Full_Feature_Space,7,Support_Vector_Classifier,0.814,0.2778,0.3286,0.3011
Birth_to_6Months_BMI_S1_S5_All_Data,Birth,6Months,BMI,Full_Feature_Space,7,Neural_Network_MLP,0.7674,0.275,0.3099,0.2914
Birth_to_6Months_BMI_S1_S5_All_Data,Birth,6Months,BMI,AIC_Optimized_Space,3,XGBoost_Classifier,0.814,0.2745,0.3286,0.2991
Birth_to_6Months_BMI_S1_S5_All_Data,Birth,6Months,BMI,AIC_Optimized_Space,3,Support_Vector_Classifier,0.814,0.2778,0.3286,0.3011
Birth_to_6Months_BMI_S1_S5_All_Data,Birth,6Months,BMI,AIC_Optimized_Space,3,Neural_Network_MLP,0.814,0.2778,0.3286,0.3011
Birth_to_6Months_BMI_S2_No_Zscores,Birth,6Months,BMI,Full_Feature_Space,4,XGBoost_Classifier,0.8256,0.2752,0.3333,0.3015
Birth_to_6Months_BMI_S2_No_Zscores,Birth,6Months,BMI,Full_Feature_Space,4,Support_Vector_Classifier,0.814,0.2778,0.3286,0.3011
Birth_to_6Months_BMI_S2_No_Zscores,Birth,6Months,BMI,Full_Feature_Space,4,Neural_Network_MLP,0.7907,0.2764,0.3192,0.2963
Birth_to_6Months_BMI_S2_No_Zscores,Birth,6Months,BMI,AIC_Optimized_Space,2,XGBoost_Classifier,0.8256,0.2752,0.3333,0.3015
Birth_to_6Months_BMI_S2_No_Zscores,Birth,6Months,BMI,AIC_Optimized_Space,2,Support_Vector_Classifier,0.814,0.2778,0.3286,0.3011
Birth_to_6Months_BMI_S2_No_Zscores,Birth,6Months,BMI,AIC_Optimized_Space,2,Neural_Network_MLP,0.814,0.2778,0.3286,0.3011
Birth_to_6Months_BMI_S3_No_Base_Data,Birth,6Months,BMI,Full_Feature_Space,5,XGBoost_Classifier,0.8256,0.2752,0.3333,0.3015
Birth_to_6Months_BMI_S3_No_Base_Data,Birth,6Months,BMI,Full_Feature_Space,5,Support_Vector_Classifier,0.8256,0.2784,0.3333,0.3034
Birth_to_6Months_BMI_S3_No_Base_Data,Birth,6Months,BMI,Full_Feature_Space,5,Neural_Network_MLP,0.8256,0.3922,0.3589,0.3506
Birth_to_6Months_BMI_S4_S6_Zscore_Only,Birth,6Months,BMI,Full_Feature_Space,3,XGBoost_Classifier,0.8256,0.2752,0.3333,0.3015
