target_age,measure,target_col,model,n_samples,mae,rmse,acc,precision,recall,f1
12,height,ht_1y_zscore,SVR,386,0.7869340817270046,1.0319806051356764,0.7307692307692307,0.7373370730902492,0.692888331475288,0.7044067044067045
12,height,ht_1y_zscore,MLP,386,0.9021518623607807,1.1494232006456384,0.6794871794871795,0.6914264597191426,0.6408630620587141,0.6574263038548752
12,height,ht_1y_zscore,XGB,386,1.0777924430428498,1.3525168375216958,0.6282051282051282,0.6336657169990504,0.5947835377183203,0.6088156288156289
12,height,ht_12m_zscore_Imputation,LinearRegression,415,0.653944477919778,0.8161783008295473,0.7710843373493976,0.7428017718715392,0.7188131313131313,0.7230735930735931
12,height,ht_12m_zscore_Imputation,SVR,415,0.6840480836619388,0.8737013343020427,0.7349397590361446,0.7057692307692308,0.6888468013468013,0.6894003224632028
12,height,ht_12m_zscore_Imputation,MLP,415,0.7261257475924603,0.8808373060733592,0.7590361445783133,0.7281323877068558,0.6959175084175083,0.7070393374741202
12,height,ht_12m_zscore_Imputation,XGB,415,0.7853276508484185,1.0114730762462236,0.6867469879518072,0.6264090177133655,0.620496632996633,0.6231780167264038
12,weight,wt_12m_zscore,LinearRegression,387,0.623834235584527,1.3333046172662064,0.7307692307692307,0.7444444444444445,0.7094276094276095,0.7209529488599257
12,weight,wt_12m_zscore,SVR,387,0.5782622438374598,0.8323833911515001,0.7564102564102564,0.7520529579353109,0.7604377104377105,0.753467000835422
12,weight,wt_12m_zscore,MLP,387,0.5597700882038495,0.8370650297635795,0.717948717948718,0.7213517865691778,0.714983164983165,0.7173649496648776
12,weight,wt_12m_zscore,XGB,387,0.6676156252672113,0.9545475132951673,0.6282051282051282,0.6253968253968254,0.6486531986531987,0.631919191919192
12,weight,wt_12m_zscore_Imputation,LinearRegression,417,0.5105978768093243,0.7061367737880768,0.7023809523809523,0.6952707856598016,0.6853968253968254,0.6811521811521811
12,weight,wt_12m_zscore_Imputation,SVR,417,0.5215163618664692,0.734881868547471,0.7023809523809523,0.6883846872082167,0.7182010582010582,0.7007736991719193
12,weight,wt_12m_zscore_Imputation,MLP,417,0.49361412038884694,0.685836348620365,0.7023809523809523,0.6931471306471306,0.7182010582010582,0.7042145593869732
12,weight,wt_12m_zscore_Imputation,XGB,417,0.5272364784737391,0.7303894317411488,0.6666666666666666,0.6500580720092916,0.6691005291005291,0.6581178476141482
18,bmi,BMI_birth_zscore,LinearRegression,386,2.2311212706409395e-16,4.1890553544340915e-16,1.0,1.0,1.0,1.0
18,bmi,BMI_birth_zscore,SVR,386,0.1487781976280969,0.43852380450367273,0.9615384615384616,0.5,0.4807692307692308,0.49019607843137253
18,bmi,BMI_birth_zscore,MLP,386,0.05047691217714413,0.09678001874919877,1.0,1.0,1.0,1.0
18,bmi,BMI_birth_zscore,XGB,386,0.061738951435505514,0.21072607429083423,0.9743589743589743,0.3333333333333333,0.3247863247863248,0.32900432900432897
18,height,ht_birth_zscore,LinearRegression,386,5.874930171974787e-16,7.656039257680124e-16,1.0,1.0,1.0,1.0
18,height,ht_birth_zscore,SVR,386,0.24548103674337549,0.9554420913211102,0.9358974358974359,0.3333333333333333,0.31196581196581197,0.3222958057395144
18,height,ht_birth_zscore,MLP,386,0.054120462942008965,0.07093704455804975,1.0,1.0,1.0,1.0
18,height,ht_birth_zscore,XGB,386,0.06636790534235247,0.4456266540714844,0.9743589743589743,0.5,0.48717948717948717,0.49350649350649345
18,weight,wt_birth_zscore,LinearRegression,387,2.6825941752861854e-16,4.0901518786488196e-16,1.0,1.0,1.0,1.0
18,weight,wt_birth_zscore,SVR,387,0.15157536268131588,0.4993861255287522,0.9743589743589743,0.3333333333333333,0.3247863247863248,0.32900432900432897
18,weight,wt_birth_zscore,MLP,387,0.045383513234349006,0.060298881332543935,1.0,1.0,1.0,1.0
18,weight,wt_birth_zscore,XGB,387,0.03832180902699764,0.11491427010096225,0.9871794871794872,0.5,0.4935897435897436,0.4967741935483871
18,bmi,BMI_6m_zscore,LinearRegression,386,7.881204592075655e-16,1.3240772441406253e-15,1.0,1.0,1.0,1.0
18,bmi,BMI_6m_zscore,SVR,386,0.21139259742310265,1.3604403926587707,0.9615384615384616,0.960686600221484,0.9583333333333334,0.9574955908289242
18,bmi,BMI_6m_zscore,MLP,386,0.023900665358359028,0.030102730290498765,1.0,1.0,1.0,1.0
18,bmi,BMI_6m_zscore,XGB,386,0.12184866742370658,0.8136792566358744,0.9743589743589743,0.9682539682539683,0.9722222222222222,0.969145503107438
18,bmi,BMI_6m_zscore_Imputation,LinearRegression,386,7.881204592075655e-16,1.3240772441406253e-15,1.0,1.0,1.0,1.0
