transition,measure,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
6m->12m,ht,MLP,0.2045664352756988,0.3729079142629576,0.41237113402061853,0.3333333333333333,0.1374570446735395,0.19464720194647203,97
6m->12m,ht,XGBoost,0.018455471966317877,0.07826212659752829,0.4639175257731959,0.3333333333333333,0.15463917525773196,0.21126760563380279,97
6m->12m,wt,LinearRegression,9.815315799537226e-16,1.6979137586059646e-15,0.4329896907216495,0.5,0.21649484536082475,0.302158273381295,97
6m->12m,wt,SVR,0.2567256113792588,0.6372092517128576,0.38144329896907214,0.25,0.09536082474226804,0.1380597014925373,97
6m->12m,wt,MLP,0.19060051221452354,0.36730541097820013,0.4020618556701031,0.25,0.10051546391752578,0.1433823529411765,97
6m->12m,wt,XGBoost,0.0582085797968123,0.3075890101128719,0.5773195876288659,0.3333333333333333,0.1924398625429553,0.24400871459694987,97
12m->18m,bmi,LinearRegression,8.522729305918861e-14,1.2102146084315543e-13,0.5894736842105263,0.5,0.29473684210526313,0.37086092715231783,95
12m->18m,bmi,SVR,0.34347226153977656,0.7391029709498127,0.43157894736842106,0.25,0.10789473684210527,0.15073529411764705,95
12m->18m,bmi,MLP,0.8074352834761515,1.074505351281947,0.2631578947368421,0.25,0.06578947368421052,0.10416666666666667,95
12m->18m,bmi,XGBoost,0.06041760915045383,0.2435742339463891,0.6210526315789474,0.3333333333333333,0.20701754385964913,0.2554112554112554,95
12m->18m,ht,LinearRegression,2.1903531620038945e-15,2.6841982304423932e-15,0.42105263157894735,0.5,0.21052631578947367,0.2962962962962963,95
12m->18m,ht,SVR,0.2276083334713324,0.4090928940873087,0.5684210526315789,0.3333333333333333,0.18947368421052632,0.24161073825503354,95
12m->18m,ht,MLP,0.23107831467042475,0.38058684365264706,0.5157894736842106,0.25,0.12894736842105264,0.1701388888888889,95
12m->18m,ht,XGBoost,0.027598287536017115,0.14195208382431265,0.6105263157894737,0.3333333333333333,0.20350877192982456,0.25272331154684097,95
12m->18m,wt,LinearRegression,1.1154089348059715e-15,1.576873854520545e-15,0.6421052631578947,0.5,0.32105263157894737,0.391025641025641,95
12m->18m,wt,SVR,0.2536165094920533,0.4749888328017143,0.30526315789473685,0.25,0.07631578947368421,0.11693548387096774,95
12m->18m,wt,MLP,0.3064723869955298,0.8610401810806876,0.4421052631578947,0.25,0.11052631578947368,0.1532846715328467,95
12m->18m,wt,XGBoost,0.023389561947538974,0.07408408519998563,0.5789473684210527,0.5,0.2894736842105263,0.3666666666666667,95
18m->24m,bmi,LinearRegression,2.313244223767402e-15,3.110547567040601e-15,0.6373626373626373,0.5,0.31868131868131866,0.38926174496644295,91
18m->24m,bmi,SVR,0.2192734903913413,0.38067269936795084,0.3956043956043956,0.25,0.0989010989010989,0.14173228346456693,91
18m->24m,bmi,MLP,0.23618494153655314,0.30503910843862503,0.4725274725274725,0.25,0.11813186813186813,0.16044776119402984,91
18m->24m,bmi,XGBoost,0.043238647529053126,0.08320292508184705,0.5494505494505495,0.5,0.27472527472527475,0.3546099290780142,91
18m->24m,ht,LinearRegression,1.9264199515199143e-15,4.903159482713019e-15,0.5274725274725275,0.5,0.26373626373626374,0.34532374100719426,91
18m->24m,ht,SVR,0.3069536172087425,0.5319892012900832,0.3516483516483517,0.25,0.08791208791208792,0.13008130081300814,91
18m->24m,ht,MLP,0.3318911779908775,0.5648325523138206,0.34065934065934067,0.25,0.08516483516483517,0.12704918032786885,91
18m->24m,ht,XGBoost,0.04793949719418439,0.16721796591753196,0.42857142857142855,0.25,0.10714285714285714,0.15,91
18m->24m,wt,LinearRegression,1.169394251761772e-15,2.9711432973004405e-15,0.6153846153846154,0.5,0.3076923076923077,0.380952380952381,91
18m->24m,wt,SVR,0.2024868481260954,0.34905494734264086,0.4065934065934066,0.25,0.10164835164835165,0.14453125,91
18m->24m,wt,MLP,0.3204749323931076,0.7081721771281189,0.3956043956043956,0.25,0.0989010989010989,0.14173228346456693,91
18m->24m,wt,XGBoost,0.025768911870360258,0.061393254475272274,0.5164835164835165,0.5,0.25824175824175827,0.3405797101449276,91
24m->36m,bmi,LinearRegression,5.0540711966406385e-15,1.302417553912245e-14,0.3815789473684211,0.5,0.19078947368421054,0.2761904761904762,76
24m->36m,bmi,SVR,0.3517150144252003,0.7122086794073902,0.39473684210526316,0.25,0.09868421052631579,0.14150943396226415,76
24m->36m,bmi,MLP,0.3514357526867185,0.4775540859203768,0.5263157894736842,0.25,0.13157894736842105,0.1724137931034483,76
24m->36m,bmi,XGBoost,0.06219184096791388,0.23414382139407874,0.618421052631579,0.3333333333333333,0.20614035087719298,0.25474254742547425,76
24m->36m,ht,LinearRegression,2.1685869474421644e-15,2.7825087503691145e-15,0.4868421052631579,0.5,0.24342105263157895,0.3274336283185841,76
24m->36m,ht,SVR,0.24103433659629903,0.36917092888482633,0.42105263157894735,0.25,0.10526315789473684,0.14814814814814814,76
24m->36m,ht,MLP,0.31304577602554745,0.43302726688783405,0.47368421052631576,0.25,0.11842105263157894,0.16071428571428573,76
24m->36m,ht,XGBoost,0.02173101026117936,0.06113319638149917,0.4868421052631579,0.5,0.24342105263157895,0.3274336283185841,76
24m->36m,wt,LinearRegression,1.068774698372484e-15,1.3713707562731433e-15,0.6266666666666667,0.5,0.31333333333333335,0.3852459016393443,75
24m->36m,wt,SVR,0.3474306991270189,0.5782200045336607,0.5466666666666666,0.25,0.13666666666666666,0.17672413793103448,75
24m->36m,wt,MLP,0.3293092734145014,0.5046797657684512,0.4266666666666667,0.25,0.10666666666666667,0.14953271028037382,75
24m->36m,wt,XGBoost,0.04829153856030837,0.07729295244588803,0.6,0.5,0.3,0.37499999999999994,75
36m->48m,bmi,LinearRegression,7.135640458140932e-15,8.497499227268939e-15,0.5238095238095238,0.5,0.2619047619047619,0.34375000000000006,42
36m->48m,bmi,SVR,0.34348349930987065,0.5326091863571148,0.3333333333333333,0.25,0.08333333333333333,0.125,42
36m->48m,bmi,MLP,0.4805890619997873,0.6329945929153045,0.2619047619047619,0.25,0.06547619047619048,0.10377358490566038,42
36m->48m,bmi,XGBoost,0.05611707871858762,0.08121333046202177,0.8095238095238095,0.5,0.40476190476190477,0.4473684210526316,42
36m->48m,ht,LinearRegression,3.515275925644536e-15,4.30380254418977e-15,0.6046511627906976,0.5,0.3023255813953488,0.37681159420289856,43
36m->48m,ht,SVR,0.37860848043116846,0.9019348532439184,0.4883720930232558,0.25,0.12209302325581395,0.1640625,43
36m->48m,ht,MLP,0.30381287008816954,0.40033409595023894,0.4418604651162791,0.25,0.11046511627906977,0.1532258064516129,43
36m->48m,ht,XGBoost,0.0653467234204174,0.29476406277378825,0.6046511627906976,0.3333333333333333,0.20155038759689922,0.25120772946859904,43
36m->48m,wt,LinearRegression,1.3826552951663514e-15,1.7229799298335824e-15,0.5116279069767442,0.5,0.2558139534883721,0.3384615384615385,43
36m->48m,wt,SVR,0.3685954121564931,0.6420067856029505,0.5116279069767442,0.25,0.12790697674418605,0.16923076923076924,43
36m->48m,wt,MLP,0.44203600829114076,0.5690184439795932,0.3953488372093023,0.25,0.09883720930232558,0.14166666666666666,43
36m->48m,wt,XGBoost,0.04988364164105329,0.11314101911426076,0.5116279069767442,0.5,0.2558139534883721,0.3384615384615385,43
