transition,measure,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
6m->12m,ht,MLP,1.6106111737670732,2.2871682070893473,0.25263157894736843,0.2126402518136798,0.2836309523809524,0.23361727914447755,95
6m->12m,ht,XGBoost,0.8791420935625559,1.237360241812778,0.4,0.37981672932330823,0.4282738095238095,0.38859020023103585,95
6m->12m,wt,LinearRegression,0.770583903533153,0.9654952661783314,0.3368421052631579,0.3377926421404682,0.42154927760577915,0.33912071843588537,95
6m->12m,wt,SVR,0.8036452519696285,1.0215272585501236,0.30526315789473685,0.31,0.43347523219814244,0.3147915941019389,95
6m->12m,wt,MLP,1.143093253578709,2.04236837715111,0.3368421052631579,0.3595708020050125,0.44871646026831785,0.32946674997566777,95
6m->12m,wt,XGBoost,0.7155284815830874,0.9371597986750843,0.37894736842105264,0.3822530126877953,0.5189305985552115,0.39227753366913154,95
12m->18m,bmi,LinearRegression,1.0235141380528,1.2236900244440483,0.25274725274725274,0.25468749999999996,0.2625876411170529,0.24884531518435313,91
12m->18m,bmi,SVR,1.007746947997928,1.2036442889312053,0.26373626373626374,0.2629148629148629,0.2801386413151119,0.26196189461684377,91
12m->18m,bmi,MLP,1.1211307738762533,1.3503607022014685,0.2857142857142857,0.3001627288092926,0.2993979005743712,0.28306159420289856,91
12m->18m,bmi,XGBoost,0.9727326373162464,1.2501492535892942,0.3076923076923077,0.320496632996633,0.316678550207962,0.3106384984364184,91
12m->18m,ht,LinearRegression,1.2256547707963916,2.3683547895283494,0.26666666666666666,0.2857513197586727,0.3037878787878788,0.27,90
12m->18m,ht,SVR,1.0562071574570324,1.3834158769210887,0.23333333333333334,0.2541208791208791,0.2659307359307359,0.23256531204644415,90
12m->18m,ht,MLP,1.2794164796878638,1.6057709516671004,0.2,0.21319102353585112,0.233001443001443,0.2028183709063879,90
12m->18m,ht,XGBoost,0.9603203807284056,1.3089292096005465,0.3,0.3029100529100529,0.32497113997113997,0.30278352887048543,90
12m->18m,wt,LinearRegression,0.7821413812777627,0.9663958164682658,0.24175824175824176,0.22357174988753936,0.20408163265306123,0.1957239231966788,91
12m->18m,wt,SVR,0.7425414530232111,0.9119335823945873,0.27472527472527475,0.2709271425407839,0.2308673469387755,0.22446808510638297,91
12m->18m,wt,MLP,0.9883128695243977,1.2433491957570586,0.27472527472527475,0.2920289855072464,0.25510204081632654,0.23912313177019057,91
12m->18m,wt,XGBoost,0.7367376047912735,0.9075893973778719,0.24175824175824176,0.20190746753246752,0.18749999999999997,0.18647644242882339,91
18m->24m,bmi,LinearRegression,1.2605961683778824,1.624470859894775,0.4594594594594595,0.33667257683215135,0.46426282051282053,0.35709549071618035,74
18m->24m,bmi,SVR,1.1806574013581328,1.5477555124460325,0.4864864864864865,0.3504419191919192,0.43974358974358974,0.34765806530512416,74
18m->24m,bmi,MLP,1.551949163178205,1.952333475015157,0.44594594594594594,0.2864583333333333,0.4075320512820513,0.2795255183413078,74
18m->24m,bmi,XGBoost,1.0957542190575218,1.4300742868410588,0.527027027027027,0.3655797101449275,0.4551282051282052,0.3598560354374308,74
18m->24m,ht,LinearRegression,0.9466366328790011,1.1976937422762202,0.2972972972972973,0.3050824175824176,0.3888888888888889,0.3069246838301717,74
18m->24m,ht,SVR,0.9501278313112753,1.2377785434861917,0.32432432432432434,0.33095238095238094,0.39550264550264547,0.3263023962677599,74
18m->24m,ht,MLP,1.2386874615468293,1.5666174511502653,0.2972972972972973,0.3347069597069597,0.3621031746031746,0.29785661492978566,74
18m->24m,ht,XGBoost,0.8461286658452669,1.1006399576952044,0.3783783783783784,0.3878968253968254,0.4669312169312169,0.38233780915466964,74
18m->24m,wt,LinearRegression,4.552075464580358,30.794697947434592,0.3287671232876712,0.22078754578754578,0.24933155080213903,0.22108156028368797,73
